,repo_name,sha,message
119,FilterLists,32e11912634ca3919a2d1e3357d2ea3575ed4083,"refactor: ♻ ren some docker-compose resources
"
120,FilterLists,526c4f7f2372ca6487f854661a5dfadc57732eab,"refactor(directory): ♻ ren docker image
"
123,generator-jhipster,337c67cdbe6308cb13da12ff46a54abf78790784,"refactor setup of the jhipster-console in docker-compose subgen (#3644)
"
124,geodocker-cluster,8f45e63a881127debdfe643f7e1d4603fec4966f,"refactored docker-compose.yml
"
126,geodocker-cluster,ac88b3e27624f9caa86ab72e37ef53e5d1903bfb,"""refactored docker images to avoid """"127 layers / parents"""" possible error on some machines""
"
127,ggz,a237745805e5b4365e22cbd694e0543c01a05dd9,"refactor(docker): update compose config
"
129,ggz,2132fa0fb840b5d147cf17412bb1e9ad43c5414b,"refactor: update docker compose
"
133,image_builder,da252339f858135d6938dfa5ec140a29c75d0f64,"""refactoring; dont install tini in Dockerfiles"
134,image_builder,34b715a16b0b39dd856198177b922e3791290db1,"refactoring; use new [docker build --file -] option to read Dockerfile from stdin so that I can volume mount SRC_DIR read-only
"
139,image_builder,b953be15f9b3c2704977556e362af3ef0c7f7fd4,"refactoring; switch to running build_image.rb using [docker-compose run] rather than [docker-compose exec]
"
143,indy-sdk,34ee119d87e6beafc3d89765c08a9c23d3f3e2e8,"""refactor wallet/ledger to use local docker"
146,lagoon,2a08bb4361b86099224dda25b4110e818dfde934,"refactoring lagoon end2end tasks: - only testing on master not develop anymore - running tests from makefile - using docker-compose overwrites
"
150,lagoon,6877050df7a7501f7434630e804b7103cc0621bc,"Routes refactoring and env variables: - Split up of templates into individual yaml files per object - create services and routes before pvc and deployments - create custom routes based on .lagoon.yml file - create configmap after routes are created - new `LAGOON_ROUTES` env which contains all routes comma separated - new `LAGOON_ROUTE` env which contains the main route (the first custom one or the first generated one) - Routes System fully tested - better documentation of build-deploy-docker-compose.sh
"
151,lagoon,c88079e08ddb41a7c9ccb9e42f858f1a77b4c19a,"""refactoring of alpine images: - create an commons alpine image which is used by all alpine images for copying common scripts like entrypoints"
152,lagoon,0cabe3ff9a53745d2fc0c60ba372020c9d5b78f4,"""refactoring of docker-images colons in folders create too much issues"
154,lagoon,0c81853baaf0070922ec9e420e9476ebac77367a,"refactoring how node-packages are loaded: - using lerna to keep track of versions for all node-packages - using relative paths in services to load node-packages - hack to load node-packages for each service with git cloning the git repo again as we don't have access to the parent directories because of docker context - linking node-packes with yarn link when we run dev modes locally so we have them in realtime within the services - new container (node-packages-lerna) which runs 'yarn run watch' in all node-packages
"
156,linden-honey,9fd5739ecd7002498d4b28da233a612d6426bffe,"refactor(docker.compose): fix db uri
"
157,linden-honey,8fb2dc6cdefb034c9a8aa32ee8dc7b02e31f3b98,"refactor(docker): update compose
"
159,linden-honey,5126ec88aedc507cf462f6a660fba50d8c762890,"refactor(docker): update db container name
"
161,linden-honey,23dfa5bdd988c028e5305e7fe8c9bb17718b3673,"refactor(docker): update config
"
162,linden-honey,02913e76301e3b241760f52a35c28fda5923db92,"refactor(docker): reorganize compose services
"
163,linden-honey,71d45feb1e238a1d6b5128b21cbc60cfcc3384b5,"refactor(docker): update compose
"
168,linden-honey,efe058d39a34547fa3a9085140f9b938d11cb884,"refactor(docker): fix db in docker-compose.yml
"
170,mission_control,a98cbfb31814009b5270390f5c63a82db3b70e50,"refactoring docker test setup
"
171,pipeline,cadbb20868ee94b6d7257891f4f2153ba87fd25f,"""added openjdk-1.8"
172,pipeline,10b77d19bb186f3b1f0b35b57e99bc66ca9c88f5,"""added openjdk-1.8"
176,storer,1e8362066db59cc025b0268ba4dee0f9573cfb0e,"refactoring; delete unneeded expressions from docker-compose.yml
"
177,storer,74c7a87f6cc6400dc177a729d057aadac011c01d,"refactoring; tidy docker-compose.yml .env vars
"
178,storer,dcbbe219df8fc94a4c63485e1b0dd7c3bb6f1552,"refactoring; move test-only settings into docker-compose.test.yml
"
179,storer,a02954bc55a60bb7892d37f11e9ce6b1bbbf7cb9,"refactoring; dropped coverage-data-containers - you can't [docker cp] out of a tmpfs but you can tar-pipe tmpfs out
"
180,storer,77dcfd36e865e35fd4d1327deda13f9aefdfaf78,"refactoring; use simpler tar-pipe to put git-kata into storer for tests; use tmpfs/readonly settings in docker-compose.yml to match those in commander; use CYBER_DOJO_KATAS_ROOT=/usr/src/cyber-dojo/katas to match commander
"
183,storer,6eada435f08fa28b1f7adc1baa60ced2f52fb854,"refactoring; use terser array notation in docker-compose.yml
"
184,stroom,b5bf4287d1e3aca9a1bc381dc08168730cdc0888,"""Big dockerfile refactor"
